,Nº,NJ,Denominación,"%
Producción
Total","Cantidad
de
Juicios ","%
(Créditos/
Activos)","%
[(Dispon.+ Invers.) /
Deudas c/Aseg.]","%
[(Dispon.+ Invers. + Inmuebles) /
Deudas c/Aseg.]","%
[(Dispon.+ Invers.+ Inmueb.) /
(Deudas c/Aseg.+ Comp.Técn.)]","% 
(Inversiones + Inmuebles) /
Activos","%
Superávit /
Capital Requerido","[(Dispon.+ Invers.) /
Compromisos Exigibles]",Fecha,Categoría
51,52.0,A,HOLANDO SUDAMERICANA,0.602502275093669,3223,34.0243486329779,124.951459732487,140.293846388025,113.165936099387,54.0307199646717,66.0701023274658,8.50934957308393,03/2017,Patrimoñales y Mixta
52,53.0,A,HORIZONTE,0.297043511831999,5625,77.3980946980884,27.1904161089663,37.8214796236054,34.8433194564339,15.9895046528335,-376.169104957064,1.54287197130092,03/2017,Patrimoñales y Mixta
53,54.0,A,IAM,0.0585714587753574,11,26.798623540336,269.723100572342,305.088836068676,183.434763997594,40.5185276070469,44.9666833333333,8.4803574380981,03/2017,Patrimoñales y Mixta
54,55.0,O,INST. ENTRE RÍOS,0.751611202521183,2876,29.7008996828398,169.187555515448,203.370323408026,145.661534343025,68.024263555736,162.799801133526,103.310891447286,03/2017,Patrimoñales y Mixta
55,56.0,O,INSTITUTO DE JUJUY,0.00512091588516601,0,5.9210596895405,665.039653382722,665.039653382722,531.85352005633,74.6444160941706,168.754116666667,28.5423135115034,03/2017,Patrimoñales y Mixta
56,57.0,A,INSTITUTO DE SEGUROS,0.12285802619148,166,25.3582617603651,478.836499584286,478.836499584286,372.305987549066,66.9059603817423,350.959197946722,0.0,03/2017,Patrimoñales y Mixta
57,58.0,A,INSUR,0.0677513509803302,1,36.4541407249456,0.0,0.0,213.793074616911,61.2331478207729,256.574423898711,7.83749337044191,03/2017,Patrimoñales y Mixta
58,59.0,A,INTÉGRITY,0.284887328475949,1483,36.4676529938778,124.932564985663,124.932564985663,110.5772923096,42.4295944690288,171.652436820098,48.8652595712345,03/2017,Patrimoñales y Mixta
59,60.0,A,INTERACCIÓN,0.101985240696993,13,26.0179718634175,140.006731332427,166.148489615905,167.936700335315,69.8431572148755,74.01359751679,14.1839819772388,03/2017,Patrimoñales y Mixta
60,61.0,A,JUNCAL PATRIMONIALES,0.0,194,63.5187761376878,41.7371077601132,59.8171749956043,68.0757180726139,29.8068749678548,139.901355555556,0.0,03/2017,Patrimoñales y Mixta
61,62.0,A,LATITUD SUR,0.0614619157409736,207,51.5476591624239,81.4161811550662,104.915485950138,105.122627915582,33.4061211757666,2.07318408733974,8.33131455106817,03/2017,Patrimoñales y Mixta
62,63.0,A,LIBRA,0.0078279814671861,1,19.2731460831871,227.031519877535,468.21208873543,279.707381891534,71.2907668185491,7.04298,12.7556760708727,03/2017,Patrimoñales y Mixta
