,Nº,NJ,Denominación,"%
Producción
Total","Cantidad
de
Juicios ","%
(Créditos/
Activos)","%
[(Dispon.+ Invers.) /
Deudas c/Aseg.]","%
[(Dispon.+ Invers. + Inmuebles) /
Deudas c/Aseg.]","%
[(Dispon.+ Invers.+ Inmueb.) /
(Deudas c/Aseg.+ Comp.Técn.)]","% 
(Inversiones + Inmuebles) /
Activos","%
Superávit /
Capital Requerido","[(Dispon.+ Invers.) /
Compromisos Exigibles]",Fecha,Categoría
30,31.0,A,COMARSEG,0.0,0,8.370807332676426,0.0,0.0,0.0,87.37997437244583,43.19938888888889,308.8202196908055,03-2018,Patrimoñales y Mixta
31,32.0,A,CONFIAR,0.004400173675729028,0,34.722516687379375,0.0,0.0,0.0,63.910096087898324,8.020695238095238,124.74434306959253,03-2018,Patrimoñales y Mixta
32,33.0,A,CONFLUENCIA,2.4260523900381553e-07,0,1.9823837252314207,0.0,0.0,0.0,90.9014325111429,23.494983333333334,458.35464867180804,03-2018,Patrimoñales y Mixta
33,34.0,A,CONSTRUCCIÓN,0.17746310572523671,82,37.31130064324642,130.5512335878915,150.21185588929765,164.38637110661816,32.24118403555382,1.445605398925887,12.495531468988046,03-2018,Patrimoñales y Mixta
34,35.0,C,COOP. MUTUAL PATRONAL,0.5897850081606659,538,34.66106250050136,155.7702927980453,157.14840900492393,114.51659814421748,58.50433053299899,115.93820625882216,62.90899367447946,03-2018,Patrimoñales y Mixta
35,36.0,C,COPAN,0.08941081963222657,535,32.35100369172835,164.2230807984016,180.15619602578988,135.96260440776624,49.68454594431442,193.57773148148146,24.722788421535434,03-2018,Patrimoñales y Mixta
36,37.0,A,COSENA,0.04108308494234856,4,53.37495189695453,555.2864324199658,555.2864324199658,206.45762342740048,9.57313160343672,10.298433333333334,0.0,03-2018,Patrimoñales y Mixta
37,38.0,A,CREDITO Y CAUCION,0.05311735932104335,0,39.71340834788141,974.1263282482698,974.1263282482698,312.253183696023,58.01066195206291,106.65387421209442,0.0,03-2018,Patrimoñales y Mixta
38,39.0,A,CRÉDITOS Y GARANTÍAS,0.10164490570747522,57,52.65576439445917,152.63808003930203,152.63808003930203,122.47660852627924,44.2055515839753,241.46842444444445,23.93866643056458,03-2018,Patrimoñales y Mixta
39,40.0,C,DULCE,0.024295165906800968,0,23.266960403748563,0.0,0.0,0.0,65.48290653285395,231.3527374134635,0.0,03-2018,Patrimoñales y Mixta
40,41.0,A,EDIFICAR,0.10448633344444756,17,25.142239740389687,146.78186195692618,162.45616553934207,164.5672381524766,70.91851514874355,18.507679308412705,5.976188303149315,03-2018,Patrimoñales y Mixta
41,42.0,A,EQUITATIVA DEL PLATA,0.20673259082297255,489,31.732159507877846,154.7253538708428,163.57069707730085,130.1408635418402,45.896539741002975,98.7469483797729,25.099766303322287,03-2018,Patrimoñales y Mixta
42,43.0,A,ESCUDO,0.28743398952560933,1753,46.93816759668943,76.19428394435103,97.7945242714649,85.22096342844144,29.368949033302727,-9.081376990404554,6.726511501234557,03-2018,Patrimoñales y Mixta
43,44.0,A,EUROAMÉRICA,0.0006999242013673078,0,3.7511437270965287,0.0,0.0,0.0,93.75793440226305,25.641898148148144,0.0,03-2018,Patrimoñales y Mixta
44,45.0,A,FED. PATRONAL,7.299725274415669,38322,16.733360811654066,168.50669800542724,168.64531286637703,139.1488497901308,79.7956426717456,75.40289209941095,143.52040844252502,03-2018,Patrimoñales y Mixta
45,46.0,A,FIANZAS Y CRÉDITO,0.12579808730249128,6,63.212547221957394,0.0,0.0,157.8592688318923,33.833707574056334,81.65322716049383,0.0,03-2018,Patrimoñales y Mixta
46,47.0,A,FINISTERRE,0.005740899990402543,0,6.561816256942238,0.0,0.0,888.794939696428,80.59891520026852,0.20543492063492064,132.33659708469955,03-2018,Patrimoñales y Mixta
47,48.0,A,GALICIA,1.038419780943767,43,40.94946707589077,397.0393785770645,399.92188030857955,206.0682632084512,51.57729786680287,19.24521526409584,18.758605245492568,03-2018,Patrimoñales y Mixta
48,49.0,A,GESTION,0.0032106700803416948,0,12.17659920281553,0.0,0.0,851.6797293681458,74.30760557099973,5.350133333333333,781.3277625905363,03-2018,Patrimoñales y Mixta
49,50.0,A,HAMBURGO,0.1447714028221686,276,23.186709518352643,239.73990843794897,242.80163120101128,172.535549930354,27.18687550866024,116.57771150703826,767.7299561372901,03-2018,Patrimoñales y Mixta
50,51.0,A,HANSEATICA,0.05223555235462662,6,60.76522858214385,258.70824372160587,258.70824372160587,123.10825633474403,19.89284679227412,39.616105555555556,9.685334568366157,03-2018,Patrimoñales y Mixta
51,52.0,A,HDI,0.34751259726252953,3760,40.97104168982848,151.46225566395373,158.4433539449472,115.39401721966323,53.576774113302776,84.47510870587533,12.291974103838855,03-2018,Patrimoñales y Mixta
52,53.0,A,HOLANDO SUDAMERICANA,0.6023927079213488,3009,37.38482295336007,114.07022282434778,126.50541850910197,102.34633739624608,51.375525078887904,38.602138285549145,44.382495556558595,03-2018,Patrimoñales y Mixta
53,54.0,A,HORIZONTE,0.28384586936232076,5555,82.76665208582953,14.561637418435689,21.57425290958255,22.271037411109706,14.284082855642492,-547.3442968791945,0.8265535881247317,03-2018,Patrimoñales y Mixta
54,55.0,A,IAM,0.062228979302694915,12,32.11433110634585,274.308444089093,306.9108333314722,146.96503555309687,38.79317794976866,21.202568518518518,13.76792471442824,03-2018,Patrimoñales y Mixta
55,56.0,O,INST. AUTÁRQUICO,0.6256855680742563,2957,28.615845791809985,187.37693375861,222.93095114971155,159.4211100898716,68.43117893619558,295.83186046228525,111.81271751323324,03-2018,Patrimoñales y Mixta
56,57.0,O,INSTITUTO DE JUJUY,0.0042236092218606355,0,5.199259992882127,445.94127512710565,445.94127512710565,386.95607481964896,80.830845373203,37.36116666666667,8.102495458604617,03-2018,Patrimoñales y Mixta
57,58.0,A,INSTITUTO DE SEGUROS,0.2015531011900963,115,21.926078870033678,449.54470498896654,449.54470498896654,376.97728026795687,67.25453328723113,166.40788301296735,0.0,03-2018,Patrimoñales y Mixta
58,59.0,A,INSUR,0.06965672605449501,3,29.07047326259711,956.4347718061823,956.4347718061823,237.4314858008689,68.27340955775534,336.0262865387513,7.860920385151226,03-2018,Patrimoñales y Mixta
59,60.0,A,INTÉGRITY,0.2806864108218804,1250,33.93935528600117,167.6759040368936,174.53318068881188,133.93627139441577,54.53272045144198,219.49317514474106,104.10385306606598,03-2018,Patrimoñales y Mixta
60,61.0,A,JUNCAL PATRIMONIALES,0.0,179,72.34488417485746,27.4841644471208,37.54041030954899,53.63700831012479,16.961270757405728,86.17571111111111,165.717294185633,03-2018,Patrimoñales y Mixta
61,62.0,A,LATITUD SUR,0.07025505122518817,252,46.20208554494863,93.37538849615002,109.93651994268423,105.96545765686429,31.37030568558673,20.191384215865696,13.464110665718422,03-2018,Patrimoñales y Mixta
62,63.0,A,LIBRA,0.02335572766151682,5,37.82499297563343,89.91165185094152,206.55759554253135,135.69676927826256,55.74879387255357,0.23566666666666666,4.515882399534791,03-2018,Patrimoñales y Mixta
63,64.0,A,LIDER MOTOS,0.0,0,1.8817845139162883,0.0,0.0,0.0,97.73895541552747,8.612116666666667,0.0,03-2018,Patrimoñales y Mixta
64,65.0,A,LIDERAR,0.8344084999605154,13557,19.899944509273638,148.3179244571792,149.07643191295224,135.52361958300415,73.70542711796718,84.93940734673005,31.842617287189917,03-2018,Patrimoñales y Mixta
65,66.0,C,LUZ Y FUERZA,0.023959635178759455,136,16.359656889108493,206.01099231310505,241.28892870602172,198.13205921852273,77.51114595385971,48.24511296296296,22.141637604209574,03-2018,Patrimoñales y Mixta
66,67.0,A,MAPFRE,1.6088659629143043,1942,40.4696816800527,148.77840220058283,152.37287267186431,106.41800276092862,54.094733700192165,22.87200042113239,2.292371609222556,03-2018,Patrimoñales y Mixta
67,68.0,A,MERCANTIL ANDINA,2.194401272085707,2972,41.5508948526353,111.23978889695422,113.53318722750872,90.67543485937752,47.83793599698416,21.818988878467234,27.30860100104126,03-2018,Patrimoñales y Mixta
68,69.0,A,MERCANTIL ASEGURADORA,0.008516971089013453,1,3.8688558068954118,0.0,0.0,0.0,80.2980606110491,13.53119074074074,0.0,03-2018,Patrimoñales y Mixta
69,70.0,A,MERIDIONAL,1.5869322234052914,3567,59.86713448435231,152.25527189457938,166.3885689451936,71.91864376780445,34.10407942778726,133.13002758271358,6.414742450681666,03-2018,Patrimoñales y Mixta
70,71.0,A,METLIFE,0.9466733816715737,463,14.415738572131254,947.3029770076639,947.3029770076639,164.50510682700838,78.01963068712638,90.60782709522091,150.0939896623213,03-2018,Patrimoñales y Mixta
71,72.0,A,METROPOL,0.0436817190169148,417,33.44409251344058,142.42844116040106,167.17982542430576,118.01214528892837,61.51213707290473,12.457542592592592,22.76305614932399,03-2018,Patrimoñales y Mixta
72,73.0,A,NACIÓN,2.7876775200508863,6202,35.9411550437304,163.29629621686675,163.29629621686675,119.02231488963675,58.62563317842845,271.81384682397436,15.206275448823678,03-2018,Patrimoñales y Mixta
73,74.0,A,NATIVA,0.08663249351791913,446,31.694554499005704,150.24655562154794,151.03515537835284,116.01180193954521,59.301008138629776,61.84821481481482,67.36272110765172,03-2018,Patrimoñales y Mixta
74,75.0,A,NIVEL,0.04046196134866208,358,25.63500741869462,97.2835199649879,136.82195714701143,118.23058243191169,65.41176893245031,10.43625,23.4190188502144,03-2018,Patrimoñales y Mixta
75,76.0,A,NOBLE,0.048190152450154816,1014,24.647597301503794,110.14713186304965,110.14713186304965,99.39389662114512,63.88213475478497,33.16038888888889,20.15359582280198,03-2018,Patrimoñales y Mixta
76,77.0,A,NORTE,0.5097885555878439,809,45.58173875397477,177.09051802897974,177.40017808581618,103.31622013215309,51.22861640648261,115.75948019077337,10.75682881745629,03-2018,Patrimoñales y Mixta
77,78.0,C,NUEVA,0.1984087472518363,3428,29.491578466345338,89.25341567611574,89.25341567611574,112.01068646787284,44.31204204306592,131.2082977886879,27.467745083842413,03-2018,Patrimoñales y Mixta
78,79.0,A,OPCION,0.13654075888399017,1,27.617694655393553,259.90224544387337,259.90224544387337,244.5112124310014,63.416638184493245,126.09086222222223,36.89874158835035,03-2018,Patrimoñales y Mixta
79,80.0,A,ORBIS,0.8448409926571067,4460,46.04265822893047,70.71542888507632,173.02510095880257,106.49852750580202,47.347396366913905,68.29923594728811,14.847213336980465,03-2018,Patrimoñales y Mixta
80,81.0,A,ORIGENES,0.17414436390644425,5,12.347224522432745,338.2349375315243,338.2349375315243,272.17850104307513,82.52573964107826,32.39736787840883,13.017812238078339,03-2018,Patrimoñales y Mixta
81,82.0,A,PACÍFICO,0.0023658737561611937,0,15.716428903635848,0.0,0.0,0.0,80.11280452343391,6.9244,461.60276723331685,03-2018,Patrimoñales y Mixta
82,83.0,A,PARANÁ,0.7147092633352887,5274,33.45839684228046,101.0873654185232,103.13007077212633,109.05743140564736,44.86667314047052,26.276200730842753,8.5923979573775,03-2018,Patrimoñales y Mixta
83,84.0,A,PERSEVERANCIA,0.3278113301669069,1518,27.678779170325857,116.81221900083536,131.56270495258025,107.87636519216086,64.12759991367622,43.3221560788665,64.98726799701447,03-2018,Patrimoñales y Mixta
84,85.0,A,PREVINCA,0.04535078483600369,1,10.770572667665256,613.0765582412661,0.0,0.0,71.53216926301891,339.01299657512084,21.807732953575215,03-2018,Patrimoñales y Mixta
85,86.0,C,PRODUCTORES DE FRUTAS,0.17861581378836644,2034,42.239003383413724,29.15387223843691,92.96353305498077,77.36790696938888,49.66640170129868,-40.768663182427474,0.0,03-2018,Patrimoñales y Mixta
86,87.0,A,PROGRESO,0.07739768749142684,1003,32.76077164864589,84.20896844081055,163.2022689085892,118.29073961290248,63.72398148810322,31.489975555555556,4.733830383504945,03-2018,Patrimoñales y Mixta
87,88.0,A,PROVIDENCIA,0.12625914117250922,773,55.05753749376866,95.20383721094142,95.20383721094142,69.7765919715872,34.53165538671177,35.57745925925926,14.467527401481552,03-2018,Patrimoñales y Mixta
88,89.0,A,PROVINCIA,2.8302423286207126,8254,34.19143476979886,112.25989752666095,112.29793986599542,89.91663148047867,64.40357960044027,-24.669984333946708,150.9710693809027,03-2018,Patrimoñales y Mixta
89,90.0,A,PRUDENCIA,0.13454754092691112,1631,49.7327223074536,112.0890269807011,112.0890269807011,87.95787284216541,34.38243750868645,10.743502932730987,8.335479072810088,03-2018,Patrimoñales y Mixta
90,91.0,A,QBE BUENOS AIRES,2.1662337707433883,4308,38.94234446397167,133.95946139456927,133.95946139456927,94.69136754120235,57.90696119290847,30.29363243325342,7.533690402942877,03-2018,Patrimoñales y Mixta
91,92.0,A,QUALIA,0.33575047703660715,0,24.049134500982547,899.467800187409,899.467800187409,683.144288667471,74.75214103450577,13.982072370207693,199.43787786923164,03-2018,Patrimoñales y Mixta
92,93.0,C,RÍO URUGUAY,0.7463085823722474,1414,56.46329706830211,161.91472524463273,170.1134462253717,92.36012336648234,26.793660793626238,80.58018989417086,33.64197352986218,03-2018,Patrimoñales y Mixta
93,94.0,C,SAN CRISTÓBAL,2.9488164337159852,5963,27.739577836017354,267.83704847462343,267.83704847462343,175.30445713053763,67.65791119947048,144.34816895035712,48.340895265123244,03-2018,Patrimoñales y Mixta
94,95.0,C,SANCOR,4.768490093560565,3349,29.618584957238696,243.0854948699485,250.5355625654435,187.69512506425835,60.100286436907304,30.634578969328842,30.307883438264234,03-2018,Patrimoñales y Mixta
95,96.0,C,SEGUNDA,2.655684852469872,4498,33.43556702062369,192.4845563037257,194.78102422297366,141.27540188340691,59.03713950139702,233.55366088290918,158.21532894777542,03-2018,Patrimoñales y Mixta
96,97.0,C,SEGURCOOP,0.3068072232037598,1371,33.22751439640413,179.45197220830792,181.7462391702744,124.96161578655357,62.772402519850225,239.33610582135918,4.791860863673538,03-2018,Patrimoñales y Mixta
97,98.0,C,SEGUROMETAL,0.19096238337833715,1221,28.201532018259496,163.38889989415526,168.58321376390205,136.8777077143554,60.12871421821069,260.34809562850313,0.0,03-2018,Patrimoñales y Mixta
98,99.0,A,SEGUROS MÉDICOS,0.0452056272476926,4414,26.16513401439926,91.65448026392416,91.65448026392416,90.5535073829173,52.900867595880655,38.99432643066897,31.657233468730134,03-2018,Patrimoñales y Mixta
99,100.0,A,SMG,0.70900671478541,3337,37.995862529482146,72.65252496315301,131.8388483686836,101.81198328244427,57.96571970013872,192.8504147608742,6.200734702206504,03-2018,Patrimoñales y Mixta
100,101.0,A,SMSV,0.13782179501000125,0,15.06953893491485,299.2108855988552,299.2108855988552,132.97576488119768,78.43105233876867,38.67342009850531,11.289868746867324,03-2018,Patrimoñales y Mixta
101,102.0,A,SOL NACIENTE,0.23471519381712136,15,16.057334129092517,0.0,0.0,213.3697299684636,81.38821749182948,88.17328419128205,68.59176914141675,03-2018,Patrimoñales y Mixta
102,103.0,E,STARR,0.027508620286602295,0,42.394632106572516,0.0,0.0,500.2415392563006,50.97428110120734,212.02610233972018,1.559345604023973,03-2018,Patrimoñales y Mixta
103,104.0,C,SUMICLI,0.002278979837707197,0,19.839061297712828,0.0,0.0,0.0,54.49124529229131,206.0731888888889,66.91710061456405,03-2018,Patrimoñales y Mixta
104,105.0,A,SUPERVIELLE,0.2621540169808043,1,19.855736010219506,511.70574049684365,530.8619294093048,538.006110877422,75.9066257215738,161.19050597869386,23.207609819559966,03-2018,Patrimoñales y Mixta
105,106.0,A,SURA,2.0858244719832486,5735,45.307209763967066,133.78100972222705,134.23085262861508,89.65409192774484,51.0463198621496,21.05616833486137,16.02411239064563,03-2018,Patrimoñales y Mixta
106,107.0,A,SURCO,0.10164524292875744,344,32.79786960415576,172.55839088508316,189.72473078265858,160.60327559032393,55.8763029392324,56.79302996213755,0.0,03-2018,Patrimoñales y Mixta
107,108.0,A,TESTIMONIO,0.07403604659690546,41,45.86299001580672,478.1017156377282,480.784873898342,135.00067278079172,41.60956961123726,13.283502777777779,36.542173295601785,03-2018,Patrimoñales y Mixta
108,109.0,A,TPC,0.04995012770874528,1927,59.25937974456056,66.00750132603588,66.00750132603588,71.24937435057198,25.760851205257623,-6.798695238095238,5.55370288746751,03-2018,Patrimoñales y Mixta
109,110.0,A,TRAYECTORIA SEGUROS,0.008329918001978796,2,12.692307653942134,0.0,0.0,571.9234713697206,85.44716931652086,51.35022222222222,65.44350732374778,03-2018,Patrimoñales y Mixta
110,111.0,C,TRIUNFO,0.37880119397884526,1989,33.65988129611362,186.13889640507125,192.40069109245317,174.6456289707695,57.81352629719091,417.0659575003856,61.82572978000954,03-2018,Patrimoñales y Mixta
111,112.0,A,TUTELAR,0.006427057557482579,0,10.420126021730821,827.7019492172037,0.0,552.8702541307239,86.33432484679014,342.79901111111116,14.765634530112818,03-2018,Patrimoñales y Mixta
112,113.0,A,VICTORIA,0.20390780742276413,1349,35.758350983952774,108.11063266824273,155.35350284663622,115.63286281294869,59.802068066469296,158.98995551676265,8.2797741570709,03-2018,Patrimoñales y Mixta
113,114.0,A,VIRGINIA,0.2841694364173428,8,49.1317967547474,643.2708124953326,643.2708124953326,104.33079690162086,42.19168817488805,88.42073024279448,13.729507350797507,03-2018,Patrimoñales y Mixta
114,115.0,A,WARRANTY,0.0,0,21.57543976447683,0.0,0.0,0.0,75.25103641949754,-22.23891111111111,9.328037247433993,03-2018,Patrimoñales y Mixta
115,116.0,A,XL INSURANCE,0.0,19,4.763305266168505,0.0,0.0,0.0,84.16821291024324,344.0969211282626,0.0,03-2018,Patrimoñales y Mixta
116,117.0,A,ZURICH,2.0227028246819287,3126,38.75436420166865,123.19103355923282,128.68971830750377,99.95539485608656,57.26310034638363,112.39053438395914,27.82656500071314,03-2018,Patrimoñales y Mixta
117,118.0,A,ZURICH SANTANDER,0.7379830591641733,42,33.83343712792967,461.1478425254513,461.1478425254513,293.11150714498405,63.76873373803556,59.23798215023268,34.52605010519064,03-2018,Patrimoñales y Mixta
118,1.0,A,ASOCIART ART,2.4419713250071933,32540,6.732227739219914,128.20672947013657,128.20672947013657,126.06246795941306,91.99317475931821,65.21044132991594,54.66736240829627,03-2018,Riesgos del Trabajo
119,2.0,A,BERKLEY ART,0.4266970331180392,2495,6.824452161773381,267.40129930849605,267.40129930849605,261.41941409012827,92.51582256423441,797.1710353935883,19.68375276564862,03-2018,Riesgos del Trabajo
