,Nº,NJ,Denominación,"%
Producción
Total","Cantidad
de
Juicios ","%
(Créditos/
Activos)","%
[(Dispon.+ Invers.) /
Deudas c/Aseg.]","%
[(Dispon.+ Invers. + Inmuebles) /
Deudas c/Aseg.]","%
[(Dispon.+ Invers.+ Inmueb.) /
(Deudas c/Aseg.+ Comp.Técn.)]","% 
(Inversiones + Inmuebles) /
Activos","%
Superávit /
Capital Requerido","[(Dispon.+ Invers.) /
Compromisos Exigibles]",Fecha,Categoría,% Mercado
13,14.0,A,SEGUNDA RETIRO,0.0625234425266215,2.0,1.6430374306136573,0.0,0.0,109.15192775304273,97.87787146260523,133.33107595222663,492.7146346345663,2018-06,Seguros de Retiro,3.51
14,15.0,A,SMG RETIRO,0.00401298584507294,96.0,1.2151589585131648,0.0,0.0,137.34052648348694,98.55867005557361,755.6606661331498,129.8386888421039,2018-06,Seguros de Retiro,0.23
15,16.0,A,ZURICH RETIRO,0.0,1.0,1.3403453211711542,0.0,0.0,332.1138018075448,98.11494061887132,18.54043,178.39556033432558,2018-06,Seguros de Retiro,0.0
16,1.0,A,BINARIA RETIRO,0.02029863963641062,53.0,0.9966572647955909,0.0,0.0,114.08854165973432,98.74549986157685,137.25247690397703,408.88744744557437,2018-03,Seguros de Retiro,1.11
17,2.0,A,CREDICOOP RETIRO,0.011297638748219355,33.0,3.3462019952363984,0.0,0.0,122.41225059173375,95.85081036441788,327.36321868223007,77.78268385744181,2018-03,Seguros de Retiro,0.62
18,3.0,A,ESTRELLA RETIRO,1.219127982028418,59.0,0.7928771059349105,0.0,0.0,105.70379137829016,98.51199529320186,22.80024857457235,0.0,2018-03,Seguros de Retiro,66.51
19,4.0,A,EXPERTA RETIRO,0.0,6.0,2.0943720137900246,0.0,0.0,152.50798220617574,97.24720520093085,0.34345000000000003,502.68335138061724,2018-03,Seguros de Retiro,0.0
20,5.0,A,FED. PATRONAL RETIRO,0.00031102072508702147,1.0,4.095099695384208,0.0,0.0,989.9512957057151,74.61727518497013,3.36529,0.0,2018-03,Seguros de Retiro,0.02
21,6.0,A,GALICIA RETIRO,2.6626329322733758e-05,11.0,3.401680726434116,0.0,0.0,134.62658327583497,96.01475405231285,35.98310333333333,450.39547410537403,2018-03,Seguros de Retiro,0.0
22,7.0,A,HSBC RETIRO,0.11262588194577453,0.0,2.346606406171349,0.0,0.0,119.44552988592156,97.57084591474072,219.9117059717648,39.58539704421791,2018-03,Seguros de Retiro,6.14
