,Nº,NJ,Denominación,ProducciónTotal,CantidaddeJuicios,(Créditos/Activos),(Dispon.+Invers.)/Deudasc/Aseg.,(Dispon.+Invers.+Inmuebles)/Deudasc/Aseg.,(Dispon.+Invers.+Inmueb.)/(Deudasc/Aseg.+Comp.Técn.),(Inversiones+Inmuebles)/Activos,Superávit/CapitalRequerido,(Dispon.+Invers.)/CompromisosExigibles,Fecha,Categoría,% Mercado
15,16.0,C,BERNARDINO RIVADAVIA,2.9494781030980852,11208.0,32.27661008166873,161.50626994235452,161.7929310718351,120.28677349987656,64.77453608209115,219.27537598225175,76.26297535570883,2018-06,Patrimoniales y Mixtas,4.28
16,17.0,A,BHN,0.26291042144507926,7.0,24.42319399043779,0.0,0.0,622.6490997129911,74.19319623063365,218.270443657724,4.693592158775387,2018-06,Patrimoniales y Mixtas,0.38
17,18.0,A,BOSTON,0.5833480467952243,2730.0,39.23449762119328,105.8932976045457,115.60093401974605,88.16620337451012,46.08550253390121,0.7774369171673992,7.049030975278256,2018-06,Patrimoniales y Mixtas,0.85
18,19.0,A,BRADESCO,0.0,23.0,0.8501971165285418,0.0,0.0,0.0,9.926706332272762,363.59436666666664,16.857533165829885,2018-06,Patrimoniales y Mixtas,0.0
19,20.0,O,CAJA DE TUCUMÁN,0.21928765473682957,780.0,7.296513943742459,183.89240582375407,183.89240582375407,168.81988712067485,85.29460686086921,339.4264014111435,87.70093949379513,2018-06,Patrimoniales y Mixtas,0.32
20,21.0,A,CAJA GENERALES,5.7854616615023415,15764.0,17.415771702674405,141.04795756731883,141.70233009927125,133.0952761608181,76.57802974087252,53.602004503743295,17.967502763432954,2018-06,Patrimoniales y Mixtas,8.39
21,22.0,A,CALEDONIA,0.235556588240578,299.0,64.30990734703721,73.98802419329013,73.98802419329013,70.71439610268511,18.131720859745666,-190.97211280107368,67.20846840186073,2018-06,Patrimoniales y Mixtas,0.34
22,23.0,A,CAMINOS PROTEGIDOS,0.03438559593074829,59.0,12.842962938650185,749.896136301595,749.896136301595,533.4608412385817,66.48244198499718,151.65137222222222,129.9992973720702,2018-06,Patrimoniales y Mixtas,0.05
23,24.0,A,CARDIF,0.7405922299635147,43.0,24.263081365821446,718.1370462497506,718.1370462497506,248.62959705728264,72.47107134748532,73.94832015264184,64.23025765416662,2018-06,Patrimoniales y Mixtas,1.07
24,25.0,A,CARUSO,0.350631734516533,241.0,4.025143238137539,854.6010719521039,854.6010719521039,780.7719703604436,90.62993475591253,242.3836006228076,333.73576927687776,2018-06,Patrimoniales y Mixtas,0.51
25,26.0,A,CESCE,4.167569814553979e-06,4.0,35.98799921961333,0.0,0.0,0.0,56.107401979564855,33.069322222222226,0.0,2018-06,Patrimoniales y Mixtas,0.0
26,27.0,A,CHUBB SEGUROS,0.8883948199102358,826.0,50.29971784098364,336.9448226670368,336.9448226670368,154.9495212994206,42.29662556362106,319.81317029139717,11.708358431388891,2018-06,Patrimoniales y Mixtas,1.29
